commodity,n_months,mean_index,std_index,mean_mom_change,std_mom_change,median_usdprice,cv_index
Daging domba,123,119.55551632835562,36.060886256264034,1.2737042971498709,12.60887571472672,8.4175,0.30162461226150283
Jeruk,119,120.71606040394964,35.56881108966816,3.2967132533947847,29.637682622623977,0.675,0.2946485411356615
Buncis,118,92.90936528879287,27.19380003950055,3.1234629292749365,25.789715936850758,0.87,0.29269169964699765
Tepung terigu impor,121,117.10331539919609,34.16125749661043,1.2020355186024552,15.118055189792774,3.0225,0.29171896098891276
Kambing hidup,116,157.55908677001685,45.759267583967016,3.5104651834589764,24.20180771411307,68.0825,0.290426077746694
Beras Tchako,102,134.04694570135746,38.741718216547,1.0204075358616014,8.715495536610952,3.2649999999999997,0.2890160459370666
Ikan segar,122,98.8049454565452,28.47722463020125,1.6260281779033097,19.549416887210125,3.73,0.2882165917770345
Sorgum Taghalit,119,126.1641498704745,35.387737992386846,5.233885941738973,34.22784537076659,0.8150000000000001,0.2804896480396167
Pisang berukuran sedang,112,129.81074054890374,36.10776274030464,1.880533330059268,18.04012791316823,1.69,0.2781569736650699
Jagung lokal,120,117.16500220665552,32.49315298524354,1.0028967570079244,13.830020299251222,0.45499999999999996,0.2773281472562272
Kurma,123,104.49693457005613,28.89734211736105,2.0064201577530794,20.052995863828443,2.0,0.2765377016680608
Kacang haricot,112,159.70462314064235,43.979831114047734,1.4697190689888624,14.334701255743783,1.56,0.2753823292599195
Kacang niebe putih,119,112.37622908400897,30.93614462526884,1.0115605683606679,12.773874457906237,0.84,0.27529082331230337
Jeruk ukuran besar,118,111.26731990985385,30.328647525871936,2.0090702737970223,19.90494581926121,0.8374999999999999,0.2725746207461768
Lentil impor,104,56.474491417673235,15.325796784148379,0.5728876964741824,15.601742259690331,1.43,0.27137556088468456
Kacang fava kering,111,101.93718073215048,27.449320893661096,0.2948410365924144,12.884353154781884,2.15,0.2692768300683807
