countryiso3,n_months,mean_index,std_index,mean_mom_change,std_mom_change,median_usdprice,cv_index
IRN,106,265.9988576626617,264.0696843810925,23.08700442615122,306.0554269851322,7.14,0.9927474377201433
ARG,78,130.2164577075911,121.57762000694481,2.5381440368263473,26.568173510975505,0.84,0.9336578658893846
SLE,114,110.18343619722684,99.27975552619259,3.2771679222755434,77.46798304156671,1.04,0.9010406550444042
SDN,121,201.10593255492043,171.97808382137154,12.057210541503077,207.95795933232358,3.7525,0.8551616634899902
FJI,11,131.4985301488836,99.2979163207631,12.493835890148183,62.08986251273382,0.885,0.7551256748523141
CAF,120,110.2131999406398,82.521018900976,3.8282504303410527,75.80199884295186,0.94,0.7487398872859272
ZAF,78,97.34876151667757,71.14560850651387,2.1285083397780697,25.9912671426292,0.23,0.7308321893168139
MWI,118,151.43501000039515,107.91381345646192,6.926654427780794,69.13477997956846,0.99,0.712608091459038
COL,110,119.91816639602182,84.46129903997235,5.754120168975753,111.60815202758158,0.83,0.7043244704146366
SWZ,117,135.55171144008128,92.21673692663491,3.3940762652394603,88.42298098378961,0.93,0.6803066958501518
GMB,107,118.60924443992916,74.46231271098404,3.178900270426802,55.44631837028516,0.98,0.6277951863077268
LAO,119,98.62210005990634,58.55201325348913,1.5669364248085702,57.078219607795035,1.85,0.5937007346012981
SYR,119,103.57197672166079,60.68125594981928,2.8505266896547616,32.96964109259525,1.01,0.5858848876940335
LBY,92,79.98791776446272,45.6797346774141,0.42653607676387273,14.874613348170552,1.3599999999999999,0.5710829329490165
KHM,118,124.50374120031863,70.17111007233704,0.9767392306993423,13.50544374589322,1.58,0.5636064378132716
TUR,109,86.69061416413568,47.01024696569294,3.0182410717739883,54.71104335791733,1.2825000000000002,0.5422760862748773
UKR,108,136.2362621869928,69.88919849912875,2.955035185949392,71.77401254781225,0.89,0.5129999706186995
MLI,118,126.29769374720335,58.59270885586214,3.467368107619406,51.70603076520992,0.8,0.463925406058015
GIN,120,125.5526227309015,55.49689581684266,1.9795705194272768,26.31551538627258,1.13,0.4420209997188975
MDA,73,124.25118325462917,54.03605345288374,2.1441134875573105,20.88420844028088,0.915,0.4348936729411029
NIC,78,102.83998642170266,43.60902389048345,9.065362466715985,203.5477985015661,3.07,0.4240473516951038
MMR,120,130.93571673372637,54.98758452042877,1.1885115315925756,10.59422762572687,1.1,0.4199586323130814
TJK,120,114.90032269987086,45.98616020832033,1.359561309504724,14.334170702452038,0.8300000000000001,0.40022655400577056
KGZ,121,110.6513581250902,42.00293272847071,2.393664020396442,28.711396602828653,1.01,0.37959708258607033
CPV,74,99.40492486205721,36.59097837945037,13.053883123505575,240.05845495166332,0.88,0.36810025690605513
PHL,119,120.25744719886241,43.591092077779,1.6102429208017546,19.680220335910537,1.66,0.36248143539663763
AGO,60,105.83488840732414,36.24621992133408,0.18747163680054377,14.957738883864938,2.75,0.34247893550786523
ARM,118,110.50929996466841,37.83102027816204,1.3481995744436592,15.030410253417699,1.23,0.3423333628052772
COG,111,110.89712873022515,37.38634672801481,2.924637979953271,29.617633975342276,1.69,0.3371263724867307
GNB,109,112.15548994951445,37.32435193102198,3.76364458746673,38.08713030733148,1.18,0.3327911272807343
MNG,76,101.51888771651626,29.96254274778723,1.069407527768619,13.771519527382296,0.8525,0.2951425436363659
LBR,71,94.09226263028086,25.512820082556683,7.334549298019584,105.43400434250137,5.98,0.2711468442714027
NPL,107,121.81019600349414,32.22983747107492,1.0053729186941227,12.87360188714394,0.86,0.26459063796392224
THA,51,110.85956361302661,29.049459415541197,1.8277241234161385,21.36637147199595,0.35,0.26203837060862945
UGA,120,117.3243328953438,30.011614441122756,1.3304926789056895,15.381567077333788,0.5449999999999999,0.255800426906274
VEN,33,108.9917112805571,27.414174392003666,1.4465256935974056,15.581189358037385,1.19,0.2515253138969114
